,sk_employee,sk_time,name,month,year,total_achieved_task_count,avg_achievement_gap,avg_performance_percentage,total_working_hours,total_working_day,total_permission_day,total_absent_day,grade_code,months_of_service,is_overdue,next_grade_code,next_salary,next_promotion_duration,date,forecast_avg_performance_percentage,forecast_avg_achievement_gap,forecast_total_achieved_task_count,forecast_total_working_hours,forecast_total_absent_day,cluster,cluster_label
25,37.0,47.0,drg. Dalima Wibisono,4,2025,0.0,5.0,94.57,8.0,1.0,0.0,0.0,GRD001,100.0,1.0,GRD002,5000000.0,24.0,2025-04-01,94.57,5.0,0.0,8.0,0.0,0.0,Cukup
26,45.0,55.0,Artawan Tamba,4,2025,1.0,0.0,100.0,8.0,1.0,0.0,0.0,GRD004,62.0,1.0,GRD005,15000000.0,60.0,2025-04-01,100.0,0.0,1.0,8.0,0.0,1.0,Sangat Baik
27,49.0,60.0,"Ir. Cici Hasanah, S.Pt",4,2025,0.0,7.0,92.63,8.0,1.0,0.0,0.0,GRD002,19.0,0.0,GRD002,5000000.0,24.0,2025-04-01,92.63,7.0,0.0,8.0,0.0,2.0,Baik
28,25.0,34.0,Halima Nainggolan,4,2025,0.0,9.0,89.77,10.0,1.0,0.0,0.0,GRD001,116.0,1.0,GRD002,5000000.0,24.0,2025-04-01,89.77,9.0,0.0,10.0,0.0,0.0,Cukup
29,47.0,58.0,drg. Kasiyah Mandasari,4,2025,0.0,8.0,91.3,9.0,1.0,0.0,0.0,GRD004,18.0,0.0,GRD004,12000000.0,48.0,2025-04-01,91.3,8.0,0.0,9.0,0.0,2.0,Baik
30,44.0,54.0,"Titi Yolanda, S.Sos",4,2025,0.0,1.0,98.85,10.0,1.0,0.0,0.0,GRD005,105.0,1.0,GRD005,15000000.0,60.0,2025-04-01,98.85,1.0,0.0,10.0,0.0,0.0,Cukup
31,42.0,52.0,"KH. Carub Saputra, S.Pd",4,2025,0.0,2.0,97.83,9.0,1.0,0.0,0.0,GRD004,74.0,1.0,GRD005,15000000.0,60.0,2025-04-01,97.83,2.0,0.0,9.0,0.0,0.0,Cukup
32,38.0,48.0,Okto Wacana,4,2025,0.0,5.0,94.74,10.0,1.0,0.0,0.0,GRD003,26.0,0.0,GRD003,8000000.0,36.0,2025-04-01,94.74,5.0,0.0,10.0,0.0,2.0,Baik
33,24.0,32.0,Jaswadi Susanti,4,2025,0.0,6.0,93.33,9.0,1.0,0.0,0.0,GRD001,93.0,1.0,GRD002,5000000.0,24.0,2025-04-01,93.33,6.0,0.0,9.0,0.0,0.0,Cukup
34,34.0,43.0,"R. Oliva Oktaviani, S.T.",4,2025,0.0,1.0,98.85,8.0,1.0,0.0,0.0,GRD003,90.0,1.0,GRD004,12000000.0,48.0,2025-04-01,98.85,1.0,0.0,8.0,0.0,0.0,Cukup
35,32.0,41.0,"drg. Ajiono Waskita, S.Pt",4,2025,0.0,5.0,93.75,8.0,1.0,0.0,0.0,GRD003,103.0,1.0,GRD004,12000000.0,48.0,2025-04-01,93.75,5.0,0.0,8.0,0.0,0.0,Cukup
36,28.0,37.0,Maimunah Budiman,4,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD002,54.0,1.0,GRD003,8000000.0,36.0,2025-04-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
37,39.0,49.0,Hairyanto Winarsih,4,2025,0.0,8.0,91.3,9.0,1.0,0.0,0.0,GRD002,111.0,1.0,GRD003,8000000.0,36.0,2025-04-01,91.3,8.0,0.0,9.0,0.0,0.0,Cukup
38,26.0,35.0,Syahrini Palastri,4,2025,0.0,7.0,92.86,9.0,1.0,0.0,0.0,GRD003,14.0,0.0,GRD003,8000000.0,36.0,2025-04-01,92.86,7.0,0.0,9.0,0.0,2.0,Baik
39,31.0,40.0,Wasis Prasasta,4,2025,0.0,10.0,88.76,9.0,1.0,0.0,0.0,GRD002,118.0,1.0,GRD003,8000000.0,36.0,2025-04-01,88.76,10.0,0.0,9.0,0.0,0.0,Cukup
40,35.0,44.0,Jaga Situmorang,4,2025,0.0,4.0,95.56,8.0,1.0,0.0,0.0,GRD003,13.0,0.0,GRD003,8000000.0,36.0,2025-04-01,95.56,4.0,0.0,8.0,0.0,2.0,Baik
41,41.0,51.0,"R. Laila Nainggolan, M.Farm",4,2025,0.0,4.0,95.18,9.0,1.0,0.0,0.0,GRD002,14.0,0.0,GRD002,5000000.0,24.0,2025-04-01,95.18,4.0,0.0,9.0,0.0,2.0,Baik
42,36.0,45.0,Surya Sihotang,4,2025,0.0,10.0,89.47,9.0,1.0,0.0,0.0,GRD003,11.0,0.0,GRD003,8000000.0,36.0,2025-04-01,89.47,10.0,0.0,9.0,0.0,2.0,Baik
43,46.0,57.0,Rusman Anggriawan,4,2025,0.0,2.0,97.89,9.0,1.0,0.0,0.0,GRD003,30.0,0.0,GRD003,8000000.0,36.0,2025-04-01,97.89,2.0,0.0,9.0,0.0,2.0,Baik
44,48.0,59.0,Aditya Nuraini,4,2025,0.0,1.0,98.88,9.0,1.0,0.0,0.0,GRD005,62.0,1.0,GRD005,15000000.0,60.0,2025-04-01,98.88,1.0,0.0,9.0,0.0,2.0,Baik
45,30.0,39.0,Mursita Dabukke,4,2025,0.0,9.0,88.75,9.0,1.0,0.0,0.0,GRD001,109.0,1.0,GRD002,5000000.0,24.0,2025-04-01,88.75,9.0,0.0,9.0,0.0,0.0,Cukup
46,43.0,53.0,Maya Saptono,4,2025,0.0,6.0,93.94,8.0,1.0,0.0,0.0,GRD003,78.0,1.0,GRD004,12000000.0,48.0,2025-04-01,93.94,6.0,0.0,8.0,0.0,0.0,Cukup
47,29.0,38.0,Zulaikha Tamba,4,2025,0.0,8.0,90.12,9.0,1.0,0.0,0.0,GRD003,100.0,1.0,GRD004,12000000.0,48.0,2025-04-01,90.12,8.0,0.0,9.0,0.0,0.0,Cukup
48,40.0,50.0,Bella Najmudin,4,2025,0.0,2.0,97.89,8.0,1.0,0.0,0.0,GRD003,56.0,1.0,GRD004,12000000.0,48.0,2025-04-01,97.89,2.0,0.0,8.0,0.0,2.0,Baik
49,27.0,36.0,"Vanesa Irawan, S.Kom",4,2025,0.0,6.0,93.26,9.0,1.0,0.0,0.0,GRD004,14.0,0.0,GRD004,12000000.0,48.0,2025-04-01,93.26,6.0,0.0,9.0,0.0,2.0,Baik
50,77.0,91.0,Carla Winarno,5,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD005,112.0,1.0,GRD005,15000000.0,60.0,2025-05-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
51,72.0,85.0,"Tgk. Yono Kuswandari, S.Kom",5,2025,0.0,5.0,94.51,10.0,1.0,0.0,0.0,GRD004,33.0,0.0,GRD004,12000000.0,48.0,2025-05-01,94.51,5.0,0.0,10.0,0.0,2.0,Baik
52,75.0,89.0,Anom Gunawan,5,2025,0.0,3.0,96.94,9.0,1.0,0.0,0.0,GRD003,75.0,1.0,GRD004,12000000.0,48.0,2025-05-01,96.94,3.0,0.0,9.0,0.0,0.0,Cukup
53,59.0,70.0,Intan Thamrin,5,2025,0.0,3.0,96.59,9.0,1.0,0.0,0.0,GRD005,58.0,0.0,GRD005,15000000.0,60.0,2025-05-01,96.59,3.0,0.0,9.0,0.0,2.0,Baik
54,61.0,72.0,Dinda Nasyiah,5,2025,0.0,5.0,94.74,9.0,1.0,0.0,0.0,GRD003,14.0,0.0,GRD003,8000000.0,36.0,2025-05-01,94.74,5.0,0.0,9.0,0.0,2.0,Baik
55,53.0,64.0,Karma Wibowo,5,2025,0.0,3.0,96.84,9.0,1.0,0.0,0.0,GRD002,16.0,0.0,GRD002,5000000.0,24.0,2025-05-01,96.84,3.0,0.0,9.0,0.0,2.0,Baik
56,69.0,81.0,Balijan Ardianto,5,2025,0.0,9.0,89.41,0.0,0.0,0.0,1.0,GRD005,120.0,1.0,GRD005,15000000.0,60.0,2025-05-01,89.41,9.0,0.0,0.0,1.0,3.0,Tidak Aktif
57,63.0,74.0,Ifa Ardianto,5,2025,0.0,9.0,89.41,9.0,1.0,0.0,0.0,GRD003,109.0,1.0,GRD004,12000000.0,48.0,2025-05-01,89.41,9.0,0.0,9.0,0.0,0.0,Cukup
58,67.0,78.0,Gina Hutasoit,5,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD005,95.0,1.0,GRD005,15000000.0,60.0,2025-05-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
59,71.0,84.0,Kusuma Sitorus,5,2025,0.0,9.0,90.72,10.0,1.0,0.0,0.0,GRD005,38.0,0.0,GRD005,15000000.0,60.0,2025-05-01,90.72,9.0,0.0,10.0,0.0,2.0,Baik
60,56.0,67.0,Jayeng Saptono,5,2025,0.0,6.0,93.48,9.0,1.0,0.0,0.0,GRD005,2.0,0.0,GRD005,15000000.0,60.0,2025-05-01,93.48,6.0,0.0,9.0,0.0,2.0,Baik
61,52.0,63.0,"Gaduh Mardhiyah, S.Sos",5,2025,0.0,3.0,96.7,10.0,1.0,0.0,0.0,GRD005,66.0,1.0,GRD005,15000000.0,60.0,2025-05-01,96.7,3.0,0.0,10.0,0.0,2.0,Baik
62,76.0,90.0,"drg. Gadang Prabowo, M.Farm",5,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD003,43.0,1.0,GRD004,12000000.0,48.0,2025-05-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
63,70.0,83.0,Hj. Agnes Situmorang,5,2025,0.0,3.0,96.34,9.0,1.0,0.0,0.0,GRD004,90.0,1.0,GRD005,15000000.0,60.0,2025-05-01,96.34,3.0,0.0,9.0,0.0,0.0,Cukup
64,60.0,71.0,Ulva Suryono,5,2025,0.0,3.0,96.94,9.0,1.0,0.0,0.0,GRD004,73.0,1.0,GRD005,15000000.0,60.0,2025-05-01,96.94,3.0,0.0,9.0,0.0,0.0,Cukup
65,51.0,62.0,Diah Wibowo,5,2025,0.0,1.0,98.88,8.0,1.0,0.0,0.0,GRD003,99.0,1.0,GRD004,12000000.0,48.0,2025-05-01,98.88,1.0,0.0,8.0,0.0,0.0,Cukup
66,57.0,68.0,Karsa Safitri,5,2025,0.0,4.0,95.6,9.0,1.0,0.0,0.0,GRD003,98.0,1.0,GRD004,12000000.0,48.0,2025-05-01,95.6,4.0,0.0,9.0,0.0,0.0,Cukup
67,62.0,73.0,Naradi Prasetyo,5,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD002,82.0,1.0,GRD003,8000000.0,36.0,2025-05-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
68,54.0,65.0,"Tirta Firgantoro, M.TI.",5,2025,0.0,10.0,88.1,9.0,1.0,0.0,0.0,GRD005,120.0,1.0,GRD005,15000000.0,60.0,2025-05-01,88.1,10.0,0.0,9.0,0.0,0.0,Cukup
69,55.0,66.0,"Jarwa Andriani, S.Gz",5,2025,0.0,1.0,98.88,8.0,1.0,0.0,0.0,GRD003,76.0,1.0,GRD004,12000000.0,48.0,2025-05-01,98.88,1.0,0.0,8.0,0.0,0.0,Cukup
70,68.0,80.0,Belinda Sihombing,5,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD003,82.0,1.0,GRD004,12000000.0,48.0,2025-05-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
71,65.0,76.0,Marwata Lailasari,5,2025,0.0,9.0,90.0,10.0,1.0,0.0,0.0,GRD005,16.0,0.0,GRD005,15000000.0,60.0,2025-05-01,90.0,9.0,0.0,10.0,0.0,2.0,Baik
72,58.0,69.0,Okto Prasasta,5,2025,0.0,3.0,96.88,8.0,1.0,0.0,0.0,GRD005,38.0,0.0,GRD005,15000000.0,60.0,2025-05-01,96.88,3.0,0.0,8.0,0.0,2.0,Baik
73,64.0,75.0,"T. Mahesa Puspasari, M.Ak",5,2025,0.0,6.0,92.77,9.0,1.0,0.0,0.0,GRD001,118.0,1.0,GRD002,5000000.0,24.0,2025-05-01,92.77,6.0,0.0,9.0,0.0,0.0,Cukup
74,73.0,87.0,Lalita Sirait,5,2025,0.0,5.0,94.44,8.0,1.0,0.0,0.0,GRD003,116.0,1.0,GRD004,12000000.0,48.0,2025-05-01,94.44,5.0,0.0,8.0,0.0,0.0,Cukup
75,66.0,77.0,"Mujur Mangunsong, S.I.Kom",5,2025,0.0,4.0,95.35,9.0,1.0,0.0,0.0,GRD001,45.0,1.0,GRD002,5000000.0,24.0,2025-05-01,95.35,4.0,0.0,9.0,0.0,2.0,Baik
76,78.0,92.0,Indra Kuswoyo,5,2025,0.0,9.0,90.91,9.0,1.0,0.0,0.0,GRD003,83.0,1.0,GRD004,12000000.0,48.0,2025-05-01,90.91,9.0,0.0,9.0,0.0,0.0,Cukup
77,74.0,88.0,Maryanto Wahyuni,5,2025,0.0,9.0,90.62,9.0,1.0,0.0,0.0,GRD001,113.0,1.0,GRD002,5000000.0,24.0,2025-05-01,90.62,9.0,0.0,9.0,0.0,0.0,Cukup
78,82.0,96.0,"Kambali Wijaya, S.Gz",6,2025,0.0,6.0,93.62,9.0,1.0,0.0,0.0,GRD003,15.0,0.0,GRD003,8000000.0,36.0,2025-06-01,93.62,6.0,0.0,9.0,0.0,2.0,Baik
79,100.0,115.0,"Ira Sirait, M.Pd",6,2025,0.0,7.0,92.93,8.0,1.0,0.0,0.0,GRD002,114.0,1.0,GRD003,8000000.0,36.0,2025-06-01,92.93,7.0,0.0,8.0,0.0,0.0,Cukup
80,81.0,95.0,"Hilda Andriani, M.Farm",6,2025,0.0,8.0,90.0,9.0,1.0,0.0,0.0,GRD002,87.0,1.0,GRD003,8000000.0,36.0,2025-06-01,90.0,8.0,0.0,9.0,0.0,0.0,Cukup
81,94.0,108.0,Kasiyah Wibisono,6,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD003,96.0,1.0,GRD004,12000000.0,48.0,2025-06-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
82,89.0,103.0,Luwes Widodo,6,2025,0.0,10.0,89.58,10.0,1.0,0.0,0.0,GRD005,115.0,1.0,GRD005,15000000.0,60.0,2025-06-01,89.58,10.0,0.0,10.0,0.0,0.0,Cukup
83,84.0,98.0,"Tasdik Purwanti, S.IP",6,2025,0.0,1.0,98.99,9.0,1.0,0.0,0.0,GRD001,62.0,1.0,GRD002,5000000.0,24.0,2025-06-01,98.99,1.0,0.0,9.0,0.0,2.0,Baik
84,88.0,102.0,"dr. Rizki Pranowo, S.Ked",6,2025,0.0,1.0,98.82,8.0,1.0,0.0,0.0,GRD005,112.0,1.0,GRD005,15000000.0,60.0,2025-06-01,98.82,1.0,0.0,8.0,0.0,0.0,Cukup
85,92.0,106.0,"Dipa Wasita, S.IP",6,2025,0.0,4.0,95.56,10.0,1.0,0.0,0.0,GRD001,97.0,1.0,GRD002,5000000.0,24.0,2025-06-01,95.56,4.0,0.0,10.0,0.0,0.0,Cukup
86,83.0,97.0,dr. Leo Laksita,6,2025,0.0,1.0,98.88,9.0,1.0,0.0,0.0,GRD002,85.0,1.0,GRD003,8000000.0,36.0,2025-06-01,98.88,1.0,0.0,9.0,0.0,0.0,Cukup
87,87.0,101.0,"Cahyadi Narpati, M.Pd",6,2025,0.0,3.0,96.97,9.0,1.0,0.0,0.0,GRD002,34.0,1.0,GRD003,8000000.0,36.0,2025-06-01,96.97,3.0,0.0,9.0,0.0,2.0,Baik
88,93.0,107.0,Hasna Hassanah,6,2025,0.0,4.0,95.4,9.0,1.0,0.0,0.0,GRD001,70.0,1.0,GRD002,5000000.0,24.0,2025-06-01,95.4,4.0,0.0,9.0,0.0,0.0,Cukup
89,90.0,104.0,Ratih Sitorus,6,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD003,95.0,1.0,GRD004,12000000.0,48.0,2025-06-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
90,95.0,109.0,Abyasa Setiawan,6,2025,0.0,6.0,93.48,9.0,1.0,0.0,0.0,GRD005,39.0,0.0,GRD005,15000000.0,60.0,2025-06-01,93.48,6.0,0.0,9.0,0.0,2.0,Baik
91,98.0,112.0,Purwanto Wijaya,6,2025,0.0,1.0,98.78,9.0,1.0,0.0,0.0,GRD003,54.0,1.0,GRD004,12000000.0,48.0,2025-06-01,98.78,1.0,0.0,9.0,0.0,2.0,Baik
92,96.0,110.0,"Baktiono Hutagalung, S.I.Kom",6,2025,0.0,5.0,94.32,9.0,1.0,0.0,0.0,GRD003,108.0,1.0,GRD004,12000000.0,48.0,2025-06-01,94.32,5.0,0.0,9.0,0.0,0.0,Cukup
93,97.0,111.0,Karman Nuraini,6,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD002,26.0,1.0,GRD003,8000000.0,36.0,2025-06-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
94,80.0,94.0,Emas Irawan,6,2025,0.0,5.0,94.68,9.0,1.0,0.0,0.0,GRD001,92.0,1.0,GRD002,5000000.0,24.0,2025-06-01,94.68,5.0,0.0,9.0,0.0,0.0,Cukup
95,99.0,114.0,"drg. Jagaraga Dongoran, S.E.",6,2025,0.0,10.0,89.36,9.0,1.0,0.0,0.0,GRD004,17.0,0.0,GRD004,12000000.0,48.0,2025-06-01,89.36,10.0,0.0,9.0,0.0,2.0,Baik
96,91.0,105.0,Luwar Dabukke,6,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD004,117.0,1.0,GRD005,15000000.0,60.0,2025-06-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
97,85.0,99.0,"Dt. Nugraha Situmorang, S.Pt",6,2025,0.0,8.0,91.21,9.0,1.0,0.0,0.0,GRD005,70.0,1.0,GRD005,15000000.0,60.0,2025-06-01,91.21,8.0,0.0,9.0,0.0,0.0,Cukup
98,86.0,100.0,"Dt. Limar Usamah, S.Psi",6,2025,0.0,5.0,93.98,9.0,1.0,0.0,0.0,GRD002,48.0,1.0,GRD003,8000000.0,36.0,2025-06-01,93.98,5.0,0.0,9.0,0.0,2.0,Baik
99,79.0,93.0,Intan Wahyudin,6,2025,0.0,3.0,96.74,8.0,1.0,0.0,0.0,GRD005,103.0,1.0,GRD005,15000000.0,60.0,2025-06-01,96.74,3.0,0.0,8.0,0.0,0.0,Cukup
100,,,,7,2025,,,,,,,,,,,,,,2025-07-01,95.5777111436808,4.054951466201948,0.16132599692550842,8.796940847166836,0.012150435145051923,,
101,,,,8,2025,,,,,,,,,,,,,,2025-08-01,95.5770711861482,4.044882922552639,0.1557510232878094,8.850959708518905,0.009340634910484867,,
102,,,,9,2025,,,,,,,,,,,,,,2025-09-01,95.57705592413363,4.046727742686199,0.1542343313770239,8.832444784175582,0.009990404014547628,,
