sk_employee,sk_time,name,month,year,total_achieved_task_count,avg_achievement_gap,avg_performance_percentage,total_working_hours,total_working_day,total_permission_day,total_absent_day,grade_code,months_of_service,is_overdue,next_grade_code,next_salary,next_promotion_duration,cluster,cluster_label
89,103,Luwes Widodo,6,2025,0,10,89.58,10,1,0,0,GRD005,115,1,GRD005,15000000,60,0,Cukup
87,101,"Cahyadi Narpati, M.Pd",6,2025,0,3,96.97,9,1,0,0,GRD002,34,1,GRD003,8000000,36,2,Baik
10,13,Tgk. Banawi Wacana,3,2025,0,5,93.9,8,1,0,0,GRD002,93,1,GRD003,8000000,36,0,Cukup
67,78,Gina Hutasoit,5,2025,1,0,100.0,9,1,0,0,GRD005,95,1,GRD005,15000000,60,1,Sangat Baik
63,74,Ifa Ardianto,5,2025,0,9,89.41,9,1,0,0,GRD003,109,1,GRD004,12000000,48,0,Cukup
53,64,Karma Wibowo,5,2025,0,3,96.84,9,1,0,0,GRD002,16,0,GRD002,5000000,24,2,Baik
30,39,Mursita Dabukke,4,2025,0,9,88.75,9,1,0,0,GRD001,109,1,GRD002,5000000,24,0,Cukup
97,111,Karman Nuraini,6,2025,1,0,100.0,9,1,0,0,GRD002,26,1,GRD003,8000000,36,1,Sangat Baik
96,110,"Baktiono Hutagalung, S.I.Kom",6,2025,0,5,94.32,9,1,0,0,GRD003,108,1,GRD004,12000000,48,0,Cukup
43,53,Maya Saptono,4,2025,0,6,93.94,8,1,0,0,GRD003,78,1,GRD004,12000000,48,0,Cukup
52,63,"Gaduh Mardhiyah, S.Sos",5,2025,0,3,96.7,10,1,0,0,GRD005,66,1,GRD005,15000000,60,2,Baik
2,2,Arta Maryati,3,2025,0,9,90.62,9,1,0,0,GRD005,46,0,GRD005,15000000,60,2,Baik
85,99,"Dt. Nugraha Situmorang, S.Pt",6,2025,0,8,91.21,9,1,0,0,GRD005,70,1,GRD005,15000000,60,0,Cukup
19,26,"Prasetyo Padmasari, M.Farm",3,2025,0,8,90.0,9,1,0,0,GRD002,29,1,GRD003,8000000,36,2,Baik
55,66,"Jarwa Andriani, S.Gz",5,2025,0,1,98.88,8,1,0,0,GRD003,76,1,GRD004,12000000,48,0,Cukup
46,57,Rusman Anggriawan,4,2025,0,2,97.89,9,1,0,0,GRD003,30,0,GRD003,8000000,36,2,Baik
72,85,"Tgk. Yono Kuswandari, S.Kom",5,2025,0,5,94.51,10,1,0,0,GRD004,33,0,GRD004,12000000,48,2,Baik
13,17,"Tgk. Bambang Mandasari, S.H.",3,2025,0,5,93.75,9,1,0,0,GRD005,100,1,GRD005,15000000,60,0,Cukup
98,112,Purwanto Wijaya,6,2025,0,1,98.78,9,1,0,0,GRD003,54,1,GRD004,12000000,48,2,Baik
75,89,Anom Gunawan,5,2025,0,3,96.94,9,1,0,0,GRD003,75,1,GRD004,12000000,48,0,Cukup
8,11,Irma Jailani,3,2025,0,5,94.38,8,1,0,0,GRD005,6,0,GRD005,15000000,60,2,Baik
7,10,Maria Gunawan,3,2025,0,1,98.96,10,1,0,0,GRD004,20,0,GRD004,12000000,48,2,Baik
1,1,Ulva Simanjuntak,3,2025,0,6,92.59,9,1,0,0,GRD001,60,1,GRD002,5000000,24,2,Baik
77,91,Carla Winarno,5,2025,1,0,100.0,9,1,0,0,GRD005,112,1,GRD005,15000000,60,1,Sangat Baik
56,67,Jayeng Saptono,5,2025,0,6,93.48,9,1,0,0,GRD005,2,0,GRD005,15000000,60,2,Baik
76,90,"drg. Gadang Prabowo, M.Farm",5,2025,1,0,100.0,9,1,0,0,GRD003,43,1,GRD004,12000000,48,1,Sangat Baik
71,84,Kusuma Sitorus,5,2025,0,9,90.72,10,1,0,0,GRD005,38,0,GRD005,15000000,60,2,Baik
40,50,Bella Najmudin,4,2025,0,2,97.89,8,1,0,0,GRD003,56,1,GRD004,12000000,48,2,Baik
31,40,Wasis Prasasta,4,2025,0,10,88.76,9,1,0,0,GRD002,118,1,GRD003,8000000,36,0,Cukup
12,16,Bakiono Kusumo,3,2025,0,8,90.12,9,1,0,0,GRD004,112,1,GRD005,15000000,60,0,Cukup
16,22,Carla Dabukke,3,2025,0,4,95.65,9,1,0,0,GRD001,62,1,GRD002,5000000,24,2,Baik
88,102,"dr. Rizki Pranowo, S.Ked",6,2025,0,1,98.82,8,1,0,0,GRD005,112,1,GRD005,15000000,60,0,Cukup
84,98,"Tasdik Purwanti, S.IP",6,2025,0,1,98.99,9,1,0,0,GRD001,62,1,GRD002,5000000,24,2,Baik
29,38,Zulaikha Tamba,4,2025,0,8,90.12,9,1,0,0,GRD003,100,1,GRD004,12000000,48,0,Cukup
94,108,Kasiyah Wibisono,6,2025,1,0,100.0,9,1,0,0,GRD003,96,1,GRD004,12000000,48,1,Sangat Baik
57,68,Karsa Safitri,5,2025,0,4,95.6,9,1,0,0,GRD003,98,1,GRD004,12000000,48,0,Cukup
39,49,Hairyanto Winarsih,4,2025,0,8,91.3,9,1,0,0,GRD002,111,1,GRD003,8000000,36,0,Cukup
81,95,"Hilda Andriani, M.Farm",6,2025,0,8,90.0,9,1,0,0,GRD002,87,1,GRD003,8000000,36,0,Cukup
60,71,Ulva Suryono,5,2025,0,3,96.94,9,1,0,0,GRD004,73,1,GRD005,15000000,60,0,Cukup
41,51,"R. Laila Nainggolan, M.Farm",4,2025,0,4,95.18,9,1,0,0,GRD002,14,0,GRD002,5000000,24,2,Baik
28,37,Maimunah Budiman,4,2025,1,0,100.0,9,1,0,0,GRD002,54,1,GRD003,8000000,36,1,Sangat Baik
82,96,"Kambali Wijaya, S.Gz",6,2025,0,6,93.62,9,1,0,0,GRD003,15,0,GRD003,8000000,36,2,Baik
22,30,Gada Gunawan,3,2025,0,7,92.47,9,1,0,0,GRD003,10,0,GRD003,8000000,36,2,Baik
18,25,"Dt. Paiman Kusumo, S.Psi",3,2025,0,10,88.89,9,1,0,0,GRD005,54,0,GRD005,15000000,60,2,Baik
93,107,Hasna Hassanah,6,2025,0,4,95.4,9,1,0,0,GRD001,70,1,GRD002,5000000,24,0,Cukup
35,44,Jaga Situmorang,4,2025,0,4,95.56,8,1,0,0,GRD003,13,0,GRD003,8000000,36,2,Baik
78,92,Indra Kuswoyo,5,2025,0,9,90.91,9,1,0,0,GRD003,83,1,GRD004,12000000,48,0,Cukup
48,59,Aditya Nuraini,4,2025,0,1,98.88,9,1,0,0,GRD005,62,1,GRD005,15000000,60,2,Baik
36,45,Surya Sihotang,4,2025,0,10,89.47,9,1,0,0,GRD003,11,0,GRD003,8000000,36,2,Baik
92,106,"Dipa Wasita, S.IP",6,2025,0,4,95.56,10,1,0,0,GRD001,97,1,GRD002,5000000,24,0,Cukup
65,76,Marwata Lailasari,5,2025,0,9,90.0,10,1,0,0,GRD005,16,0,GRD005,15000000,60,2,Baik
21,28,Clara Laksmiwati,3,2025,0,6,94.0,10,1,0,0,GRD004,117,1,GRD005,15000000,60,0,Cukup
9,12,"KH. Cemplunk Pertiwi, M.Ak",3,2025,0,5,93.9,9,1,0,0,GRD005,54,0,GRD005,15000000,60,2,Baik
74,88,Maryanto Wahyuni,5,2025,0,9,90.62,9,1,0,0,GRD001,113,1,GRD002,5000000,24,0,Cukup
23,31,Panca Lazuardi,3,2025,0,8,91.49,9,1,0,0,GRD005,96,1,GRD005,15000000,60,0,Cukup
20,27,Ir. Elma Irawan,3,2025,1,0,100.0,9,1,0,0,GRD001,88,1,GRD002,5000000,24,1,Sangat Baik
99,114,"drg. Jagaraga Dongoran, S.E.",6,2025,0,10,89.36,9,1,0,0,GRD004,17,0,GRD004,12000000,48,2,Baik
64,75,"T. Mahesa Puspasari, M.Ak",5,2025,0,6,92.77,9,1,0,0,GRD001,118,1,GRD002,5000000,24,0,Cukup
86,100,"Dt. Limar Usamah, S.Psi",6,2025,0,5,93.98,9,1,0,0,GRD002,48,1,GRD003,8000000,36,2,Baik
91,105,Luwar Dabukke,6,2025,1,0,100.0,9,1,0,0,GRD004,117,1,GRD005,15000000,60,1,Sangat Baik
80,94,Emas Irawan,6,2025,0,5,94.68,9,1,0,0,GRD001,92,1,GRD002,5000000,24,0,Cukup
73,87,Lalita Sirait,5,2025,0,5,94.44,8,1,0,0,GRD003,116,1,GRD004,12000000,48,0,Cukup
66,77,"Mujur Mangunsong, S.I.Kom",5,2025,0,4,95.35,9,1,0,0,GRD001,45,1,GRD002,5000000,24,2,Baik
27,36,"Vanesa Irawan, S.Kom",4,2025,0,6,93.26,9,1,0,0,GRD004,14,0,GRD004,12000000,48,2,Baik
26,35,Syahrini Palastri,4,2025,0,7,92.86,9,1,0,0,GRD003,14,0,GRD003,8000000,36,2,Baik
