"sk_employee","sk_time","name","month","year","total_achieved_task_count","avg_achievement_gap","avg_performance_percentage","total_working_hours","total_working_day","total_permission_day","total_absent_day","grade_code","months_of_service","is_overdue","next_grade_code","next_salary","next_promotion_duration"
"24","32","Jaswadi Susanti","4","2025","0","6","93.3300000000000000","9","1","0","0","GRD001","93","1","GRD002","5000000","24"
"54","65","Tirta Firgantoro, M.TI.","5","2025","0","10","88.1000000000000000","9","1","0","0","GRD005","120","1","GRD005","15000000","60"
"4","5","Sabrina Yulianti","3","2025","0","2","97.7500000000000000","9","1","0","0","GRD003","92","1","GRD004","12000000","48"
"44","54","Titi Yolanda, S.Sos","4","2025","0","1","98.8500000000000000","10","1","0","0","GRD005","105","1","GRD005","15000000","60"
"51","62","Diah Wibowo","5","2025","0","1","98.8800000000000000","8","1","0","0","GRD003","99","1","GRD004","12000000","48"
"79","93","Intan Wahyudin","6","2025","0","3","96.7400000000000000","8","1","0","0","GRD005","103","1","GRD005","15000000","60"
"70","83","Hj. Agnes Situmorang","5","2025","0","3","96.3400000000000000","9","1","0","0","GRD004","90","1","GRD005","15000000","60"
"100","115","Ira Sirait, M.Pd","6","2025","0","7","92.9300000000000000","8","1","0","0","GRD002","114","1","GRD003","8000000","36"
"3","3","Tina Putra","3","2025","0","9","89.0200000000000000","8","1","0","0","GRD002","105","1","GRD003","8000000","36"
"6","8","Raina Saptono","3","2025","0","5","95.0000000000000000","9","1","0","0","GRD005","84","1","GRD005","15000000","60"
"61","72","Dinda Nasyiah","5","2025","0","5","94.7400000000000000","9","1","0","0","GRD003","14","0","GRD003","8000000","36"
"59","70","Intan Thamrin","5","2025","0","3","96.5900000000000000","9","1","0","0","GRD005","58","0","GRD005","15000000","60"
"25","34","Halima Nainggolan","4","2025","0","9","89.7700000000000000","10","1","0","0","GRD001","116","1","GRD002","5000000","24"
"95","109","Abyasa Setiawan","6","2025","0","6","93.4800000000000000","9","1","0","0","GRD005","39","0","GRD005","15000000","60"
"15","20","Tari Zulkarnain","3","2025","0","1","99.0000000000000000","9","1","0","0","GRD001","90","1","GRD002","5000000","24"
"32","41","drg. Ajiono Waskita, S.Pt","4","2025","0","5","93.7500000000000000","8","1","0","0","GRD003","103","1","GRD004","12000000","48"
"69","81","Balijan Ardianto","5","2025","0","9","89.4100000000000000","0","0","0","1","GRD005","120","1","GRD005","15000000","60"
"49","60","Ir. Cici Hasanah, S.Pt","4","2025","0","7","92.6300000000000000","8","1","0","0","GRD002","19","0","GRD002","5000000","24"
"37","47","drg. Dalima Wibisono","4","2025","0","5","94.5700000000000000","8","1","0","0","GRD001","100","1","GRD002","5000000","24"
"14","19","Hamima Ramadan","3","2025","0","3","96.3900000000000000","9","1","0","0","GRD005","48","0","GRD005","15000000","60"
"90","104","Ratih Sitorus","6","2025","1","0","100.0000000000000000","9","1","0","0","GRD003","95","1","GRD004","12000000","48"
"89","103","Luwes Widodo","6","2025","0","10","89.5800000000000000","10","1","0","0","GRD005","115","1","GRD005","15000000","60"
"87","101","Cahyadi Narpati, M.Pd","6","2025","0","3","96.9700000000000000","9","1","0","0","GRD002","34","1","GRD003","8000000","36"
"10","13","Tgk. Banawi Wacana","3","2025","0","5","93.9000000000000000","8","1","0","0","GRD002","93","1","GRD003","8000000","36"
"67","78","Gina Hutasoit","5","2025","1","0","100.0000000000000000","9","1","0","0","GRD005","95","1","GRD005","15000000","60"
"63","74","Ifa Ardianto","5","2025","0","9","89.4100000000000000","9","1","0","0","GRD003","109","1","GRD004","12000000","48"
"53","64","Karma Wibowo","5","2025","0","3","96.8400000000000000","9","1","0","0","GRD002","16","0","GRD002","5000000","24"
"30","39","Mursita Dabukke","4","2025","0","9","88.7500000000000000","9","1","0","0","GRD001","109","1","GRD002","5000000","24"
"97","111","Karman Nuraini","6","2025","1","0","100.0000000000000000","9","1","0","0","GRD002","26","1","GRD003","8000000","36"
"96","110","Baktiono Hutagalung, S.I.Kom","6","2025","0","5","94.3200000000000000","9","1","0","0","GRD003","108","1","GRD004","12000000","48"
"43","53","Maya Saptono","4","2025","0","6","93.9400000000000000","8","1","0","0","GRD003","78","1","GRD004","12000000","48"
"52","63","Gaduh Mardhiyah, S.Sos","5","2025","0","3","96.7000000000000000","10","1","0","0","GRD005","66","1","GRD005","15000000","60"
"2","2","Arta Maryati","3","2025","0","9","90.6200000000000000","9","1","0","0","GRD005","46","0","GRD005","15000000","60"
"85","99","Dt. Nugraha Situmorang, S.Pt","6","2025","0","8","91.2100000000000000","9","1","0","0","GRD005","70","1","GRD005","15000000","60"
"19","26","Prasetyo Padmasari, M.Farm","3","2025","0","8","90.0000000000000000","9","1","0","0","GRD002","29","1","GRD003","8000000","36"
"55","66","Jarwa Andriani, S.Gz","5","2025","0","1","98.8800000000000000","8","1","0","0","GRD003","76","1","GRD004","12000000","48"
"46","57","Rusman Anggriawan","4","2025","0","2","97.8900000000000000","9","1","0","0","GRD003","30","0","GRD003","8000000","36"
"72","85","Tgk. Yono Kuswandari, S.Kom","5","2025","0","5","94.5100000000000000","10","1","0","0","GRD004","33","0","GRD004","12000000","48"
"13","17","Tgk. Bambang Mandasari, S.H.","3","2025","0","5","93.7500000000000000","9","1","0","0","GRD005","100","1","GRD005","15000000","60"
"98","112","Purwanto Wijaya","6","2025","0","1","98.7800000000000000","9","1","0","0","GRD003","54","1","GRD004","12000000","48"
"75","89","Anom Gunawan","5","2025","0","3","96.9400000000000000","9","1","0","0","GRD003","75","1","GRD004","12000000","48"
"8","11","Irma Jailani","3","2025","0","5","94.3800000000000000","8","1","0","0","GRD005","6","0","GRD005","15000000","60"
"7","10","Maria Gunawan","3","2025","0","1","98.9600000000000000","10","1","0","0","GRD004","20","0","GRD004","12000000","48"
"1","1","Ulva Simanjuntak","3","2025","0","6","92.5900000000000000","9","1","0","0","GRD001","60","1","GRD002","5000000","24"
"77","91","Carla Winarno","5","2025","1","0","100.0000000000000000","9","1","0","0","GRD005","112","1","GRD005","15000000","60"
"56","67","Jayeng Saptono","5","2025","0","6","93.4800000000000000","9","1","0","0","GRD005","2","0","GRD005","15000000","60"
"76","90","drg. Gadang Prabowo, M.Farm","5","2025","1","0","100.0000000000000000","9","1","0","0","GRD003","43","1","GRD004","12000000","48"
"71","84","Kusuma Sitorus","5","2025","0","9","90.7200000000000000","10","1","0","0","GRD005","38","0","GRD005","15000000","60"
"40","50","Bella Najmudin","4","2025","0","2","97.8900000000000000","8","1","0","0","GRD003","56","1","GRD004","12000000","48"
"31","40","Wasis Prasasta","4","2025","0","10","88.7600000000000000","9","1","0","0","GRD002","118","1","GRD003","8000000","36"
"12","16","Bakiono Kusumo","3","2025","0","8","90.1200000000000000","9","1","0","0","GRD004","112","1","GRD005","15000000","60"
"16","22","Carla Dabukke","3","2025","0","4","95.6500000000000000","9","1","0","0","GRD001","62","1","GRD002","5000000","24"
"88","102","dr. Rizki Pranowo, S.Ked","6","2025","0","1","98.8200000000000000","8","1","0","0","GRD005","112","1","GRD005","15000000","60"
"84","98","Tasdik Purwanti, S.IP","6","2025","0","1","98.9900000000000000","9","1","0","0","GRD001","62","1","GRD002","5000000","24"
"29","38","Zulaikha Tamba","4","2025","0","8","90.1200000000000000","9","1","0","0","GRD003","100","1","GRD004","12000000","48"
"94","108","Kasiyah Wibisono","6","2025","1","0","100.0000000000000000","9","1","0","0","GRD003","96","1","GRD004","12000000","48"
"57","68","Karsa Safitri","5","2025","0","4","95.6000000000000000","9","1","0","0","GRD003","98","1","GRD004","12000000","48"
"39","49","Hairyanto Winarsih","4","2025","0","8","91.3000000000000000","9","1","0","0","GRD002","111","1","GRD003","8000000","36"
"81","95","Hilda Andriani, M.Farm","6","2025","0","8","90.0000000000000000","9","1","0","0","GRD002","87","1","GRD003","8000000","36"
"60","71","Ulva Suryono","5","2025","0","3","96.9400000000000000","9","1","0","0","GRD004","73","1","GRD005","15000000","60"
"41","51","R. Laila Nainggolan, M.Farm","4","2025","0","4","95.1800000000000000","9","1","0","0","GRD002","14","0","GRD002","5000000","24"
"28","37","Maimunah Budiman","4","2025","1","0","100.0000000000000000","9","1","0","0","GRD002","54","1","GRD003","8000000","36"
"82","96","Kambali Wijaya, S.Gz","6","2025","0","6","93.6200000000000000","9","1","0","0","GRD003","15","0","GRD003","8000000","36"
"22","30","Gada Gunawan","3","2025","0","7","92.4700000000000000","9","1","0","0","GRD003","10","0","GRD003","8000000","36"
"18","25","Dt. Paiman Kusumo, S.Psi","3","2025","0","10","88.8900000000000000","9","1","0","0","GRD005","54","0","GRD005","15000000","60"
"93","107","Hasna Hassanah","6","2025","0","4","95.4000000000000000","9","1","0","0","GRD001","70","1","GRD002","5000000","24"
"35","44","Jaga Situmorang","4","2025","0","4","95.5600000000000000","8","1","0","0","GRD003","13","0","GRD003","8000000","36"
"78","92","Indra Kuswoyo","5","2025","0","9","90.9100000000000000","9","1","0","0","GRD003","83","1","GRD004","12000000","48"
"48","59","Aditya Nuraini","4","2025","0","1","98.8800000000000000","9","1","0","0","GRD005","62","1","GRD005","15000000","60"
"36","45","Surya Sihotang","4","2025","0","10","89.4700000000000000","9","1","0","0","GRD003","11","0","GRD003","8000000","36"
"92","106","Dipa Wasita, S.IP","6","2025","0","4","95.5600000000000000","10","1","0","0","GRD001","97","1","GRD002","5000000","24"
"65","76","Marwata Lailasari","5","2025","0","9","90.0000000000000000","10","1","0","0","GRD005","16","0","GRD005","15000000","60"
"21","28","Clara Laksmiwati","3","2025","0","6","94.0000000000000000","10","1","0","0","GRD004","117","1","GRD005","15000000","60"
"9","12","KH. Cemplunk Pertiwi, M.Ak","3","2025","0","5","93.9000000000000000","9","1","0","0","GRD005","54","0","GRD005","15000000","60"
"74","88","Maryanto Wahyuni","5","2025","0","9","90.6200000000000000","9","1","0","0","GRD001","113","1","GRD002","5000000","24"
"23","31","Panca Lazuardi","3","2025","0","8","91.4900000000000000","9","1","0","0","GRD005","96","1","GRD005","15000000","60"
"20","27","Ir. Elma Irawan","3","2025","1","0","100.0000000000000000","9","1","0","0","GRD001","88","1","GRD002","5000000","24"
"99","114","drg. Jagaraga Dongoran, S.E.","6","2025","0","10","89.3600000000000000","9","1","0","0","GRD004","17","0","GRD004","12000000","48"
"64","75","T. Mahesa Puspasari, M.Ak","5","2025","0","6","92.7700000000000000","9","1","0","0","GRD001","118","1","GRD002","5000000","24"
"86","100","Dt. Limar Usamah, S.Psi","6","2025","0","5","93.9800000000000000","9","1","0","0","GRD002","48","1","GRD003","8000000","36"
"91","105","Luwar Dabukke","6","2025","1","0","100.0000000000000000","9","1","0","0","GRD004","117","1","GRD005","15000000","60"
"80","94","Emas Irawan","6","2025","0","5","94.6800000000000000","9","1","0","0","GRD001","92","1","GRD002","5000000","24"
"73","87","Lalita Sirait","5","2025","0","5","94.4400000000000000","8","1","0","0","GRD003","116","1","GRD004","12000000","48"
"66","77","Mujur Mangunsong, S.I.Kom","5","2025","0","4","95.3500000000000000","9","1","0","0","GRD001","45","1","GRD002","5000000","24"
"27","36","Vanesa Irawan, S.Kom","4","2025","0","6","93.2600000000000000","9","1","0","0","GRD004","14","0","GRD004","12000000","48"
"26","35","Syahrini Palastri","4","2025","0","7","92.8600000000000000","9","1","0","0","GRD003","14","0","GRD003","8000000","36"
